File,WC,Nodes,Edges,RE,PE,L1,L2,L3,LCC,LSC,ATD,Density,Diameter,ASP,CC
1200SCN_0_processed,267,163,242,8,12,2,5,4,162,113,2.969325,0.017268802544876165,12,4.454566367609843,0.042584978940638694
1201SCN_0_processed,537,258,490,38,45,1,7,32,257,228,3.7984495,0.013392453171658674,9,3.6255775778210118,0.09634733119358113
1202SCN_0_processed,204,100,185,29,33,1,4,9,98,78,3.7,0.030505050505050504,9,3.6393856511676828,0.1381074148074148
1203SCN_0_processed,532,235,488,51,57,6,8,16,235,196,4.1531916,0.015457355882887798,12,3.7573740680123677,0.08139071372657493
1204SCN_0_processed,279,166,250,12,13,0,1,4,166,133,3.0120482,0.017305585980284775,12,4.521431179262506,0.052842729031695415
1205SCN_0_processed,290,131,268,42,49,1,7,21,131,112,4.0916033,0.02560187903699354,8,3.5155607751027613,0.10295392129698372
1206SCN_0_processed,348,193,315,28,30,0,2,7,191,135,3.2642486,0.015382124352331605,11,4.435932763846791,0.0439519670314197
1207SCN_0_processed,157,94,142,10,15,4,6,1,88,60,3.0212767,0.028140013726835965,13,4.713166144200628,0.01619385342789598
1208SCN_0_processed,273,120,237,33,37,1,4,8,120,97,3.95,0.027871148459383755,8,3.582072829131652,0.12182150638032989
1209SCN_0_processed,266,155,242,15,24,1,9,8,155,124,3.1225805,0.01818181818181818,11,4.162966066191871,0.06348581739952958
1211SCN_0_processed,75,44,68,5,5,0,0,3,43,37,3.090909,0.06659619450317125,8,3.1760797342192695,0.12223370064279154
1212SCN_0_processed,315,184,282,6,11,0,5,11,184,149,3.0652175,0.016096459966737944,12,4.302565930149682,0.06240880691955029
1214SCN_0_processed,349,186,308,10,15,2,5,19,183,137,3.311828,0.016913687881429818,12,4.027982946015732,0.1051415996354817
1215SCN_0_processed,117,66,106,12,12,0,0,4,66,49,3.2121212,0.04382284382284382,10,3.9062937062937064,0.07258187940006122
1216SCN_0_processed,372,207,335,13,17,3,5,12,207,150,3.236715,0.014774166314900802,12,4.378124853430889,0.058504097861869934
1217SCN_0_processed,460,221,412,31,42,3,11,23,220,176,3.7285068,0.015096668037844508,9,3.72972187629722,0.10075614209231458
1218SCN_0_processed,179,94,163,9,14,0,5,1,94,81,3.468085,0.0340883093113704,8,3.666209105467857,0.0351735439501397
1219SCN_0_processed,148,84,135,8,10,2,2,4,83,73,3.2142856,0.035283993115318414,9,4.070526006464884,0.030084862227719375
1220SCN_0_processed,137,80,121,6,12,1,6,4,79,62,3.025,0.03417721518987342,10,3.902629016553068,0.07687362758014932
1222SCN_0_processed,385,188,362,38,50,1,12,28,188,172,3.8510637,0.017692570258277394,8,3.357833655705996,0.1296444623534824
1223SCN_0_processed,257,145,236,14,20,1,6,18,144,122,3.2551725,0.020593869731800767,10,3.5595376845376854,0.1340144385702195
1224SCN_0_processed,435,180,407,74,86,1,12,28,180,148,4.522222,0.019863438857852266,10,3.349099937926757,0.1654019597665764
1225SCN_0_processed,514,228,487,62,82,2,20,60,228,208,4.2719297,0.015573073653296236,9,3.3887085555297953,0.13666801576647092
1226SCN_0_processed,143,79,134,13,20,0,7,7,79,72,3.392405,0.03700097370983447,8,3.4209672184355737,0.07942570306166988
1228SCN_0_processed,508,225,482,68,84,5,18,61,224,210,4.2844443,0.015595238095238096,8,3.1203155028827676,0.25411337618639707
1229SCN_0_processed,490,242,462,32,42,5,11,31,242,212,3.8181818,0.014231336373924076,14,3.690477006961349,0.13866437556793573
1230SCN_0_processed,75,48,69,3,3,1,0,3,45,38,2.875,0.057624113475177305,7,3.225252525252525,0.06310934095860567
1231SCN_0_processed,498,212,472,58,78,4,20,38,212,197,4.4528303,0.017437181436108378,9,3.362246266654742,0.13717991260528462
1232SCN_0_processed,107,58,101,13,22,0,9,12,56,48,3.4827585,0.04779189352692075,8,3.1915584415584424,0.17953644057092336
1233SCN_0_processed,457,205,427,63,84,1,21,43,205,184,4.1658535,0.0163558106169297,8,3.300143472022953,0.17152947181866157
1234SCN_0_processed,72,45,67,4,5,0,1,7,45,30,2.9777777,0.06262626262626263,12,3.961616161616161,0.23107149930679344
1235SCN_0_processed,306,175,287,17,25,0,8,22,174,146,3.28,0.01720853858784893,9,3.5751777290545523,0.15515493211345743
1236SCN_0_processed,198,100,186,19,28,4,10,9,99,83,3.72,0.03111111111111111,10,3.6400742115027827,0.06373259690501068
1237SCN_0_processed,325,189,298,8,12,2,4,12,189,148,3.153439,0.01598559045367556,15,4.464651581672857,0.06365205371773516
1238SCN_0_processed,175,118,159,4,8,0,4,2,112,90,2.6949153,0.021874547298276113,14,4.7559523809523805,0.04025776206733335
1240SCN_0_processed,509,234,479,52,61,1,9,15,234,218,4.094017,0.015296577528337185,9,3.701661714537252,0.07071183631388818
1241SCN_0_processed,67,42,60,4,8,0,4,2,37,32,2.857143,0.06039488966318235,8,3.3153153153153156,0.07662337662337662
1242SCN_0_processed,298,177,276,13,20,0,7,8,177,147,3.118644,0.016435541859270673,11,4.151771956856702,0.05328576559882641
1243SCN_0_processed,519,217,491,77,89,1,12,44,217,204,4.525346,0.01711042840075098,8,3.358678955453149,0.15927385014752815
